title,year,genre,users_rating,votes,languages,directors,runtime
"Mereka Bilang, Saya Monyet!",2008,Drama,6.7,43,Indonesian,Djenar Maesa Ayu,
Merem Melek,2008,Comedy,3,8,Indonesian,Nayato Fio Nuala,
Mupeng,2008,Comedy,4,14,Indonesian,Awi Suryadi,
Namaku Dick,2008,Comedy,4.3,35,Indonesian,Teddy Soeriaatmadja,90 min
Oh Baby,2008,Drama,5.5,73,Indonesian,Cassandra Massardi,
"Oh, My God!",2008,Comedy,4.2,15,Indonesian,Rako Prijanto,
Otomatis Romantis,2008,Comedy,6.2,54,Indonesian,Guntur Soeharjanto,100 min
Pencarian Terakhir,2008,Adventure,7.2,39,Indonesian,Affandi Abdul Rachman,90 min
Pocong vs. Kuntilanak,2008,Horror,2.8,17,Indonesian,David Purnomo,90 min
Pulau Hantu 2,2008,Horror,3.8,36,Indonesian,Jose Poernomo,
Radit & Jani,2008,Drama,6.9,276,Indonesian,Upi Avianto,
Sarang Kuntilanak,2008,Horror,3.5,16,Indonesian,Nayato Fio Nuala,90 min
Saus Kacang,2008,Drama,5,21,Indonesian,Indrayanto Kurniawan,
Setannya Kok Beneran?,2008,Comedy,4.3,18,Indonesian,Muchyar Syamas,90 min
Si Jago Merah,2008,Comedy,5.7,46,Indonesian,Iqbal Rais,
Skandal Cinta Babi Ngepet,2008,Romance,1.5,13,Indonesian,K.K. Dheeraj,91 min
Suami-Suami Takut Istri: The Movie,2008,Comedy,3.5,32,Indonesian,Sofyan D. Surza,
Summer Breeze,2008,Romance,6.8,18,Indonesian,Allan Lunardi,
Sumpah Pocong di Sekolah,2008,Drama,4.5,42,Indonesian,Awi Suryadi,
Susahnya Jadi Perawan,2008,Comedy,4,10,Indonesian,Mirwan Suwarso,90 min
Syahadat Cinta,2008,Drama,8,12,Indonesian,Gunawan Paggaru,
Takut: Faces of Fear,2008,Horror,5.9,248,Indonesian,Robby Ertanto,
Tali Pocong Perawan,2008,Horror,3.4,58,Indonesian,Arie Azis,105 min
Tarzan ke Kota,2008,Comedy,3.8,6,Indonesian,Reka Wijaya,90 min
The Shaman,2008,Horror,5.9,16,Indonesian,Raditya Sidharta,
The Tarix Jabrix,2008,Comedy,6.7,90,Indonesian,Iqbal Rais,95 min
Tiren: Mati Kemaren,2008,Horror,3.2,21,Indonesian,Emil G. Hampp,90 min
Tri Mas Getir,2008,Comedy,5,22,Indonesian,Rako Prijanto,97 min
Tulalit,2008,Comedy,3.1,7,Indonesian,Saptadji,93 min
Verses of Love,2008,Drama,7.1,981,Indonesian,Hanung Bramantyo,130 min
Want More?,2008,Comedy,4.9,16,Indonesian,Thomas Nawilis,90 min
"XL: Extra Large - Antara Aku, Kau, dan Mak Erot",2008,Drama,4.8,34,Indonesian,Monty Tiwa,
3 Hari Untuk Selamanya,2007,Comedy,7.1,305,Indonesian,Riri Riza,104 min
Angkerbatu,2007,Horror,4.9,30,Indonesian,Jose Poernomo,
Badai Pasti Berlalu,2007,Drama,6.7,33,Indonesian,Teddy Soeriaatmadja,90 min
Beranak dalam Kubur,2007,Horror,3.1,27,Indonesian,Freddy Lingga,90 min
Bukan Bintang Biasa,2007,,4.3,46,Indonesian,Lasja Fauzia,
Dead Time,2007,Crime,7,875,Indonesian,Joko Anwar,102 min
Enam,2007,Horror,5.8,12,Indonesian,Stephen Odang,97 min
Film Horor,2007,Comedy,5.2,32,Indonesian,Toto Hoedi,115 min
Genderuwo,2007,Horror,1.7,30,Indonesian,K.K. Dheeraj,
